Output number,Expansion factor,redshift
0,0.02094,46.7554
1,0.0219318,44.596
2,0.0229704,42.5342
3,0.0240583,40.5657
4,0.0251977,38.6861
5,0.0263911,36.8916
6,0.027641,35.1782
7,0.0289501,33.5422
8,0.0303212,31.9803
9,0.0317572,30.4889
10,0.0332613,29.065
11,0.0348365,27.7055
12,0.0364865,26.4074
13,0.0382145,25.1681
14,0.0400245,23.9847
15,0.0419201,22.8549
16,0.0439056,21.7761
17,0.0459851,20.7462
18,0.0481632,19.7627
19,0.0504444,18.8238
20,0.0528338,17.9273
21,0.0553364,17.0713
22,0.0579575,16.254
23,0.060703,15.4737
24,0.0635785,14.7286
25,0.0665904,14.0172
26,0.0697451,13.3379
27,0.0730494,12.6894
28,0.0765105,12.0701
29,0.0801357,11.4788
30,0.0839331,10.9143
31,0.0879107,10.3752
32,0.0920772,9.86046
33,0.0964416,9.36897
34,0.101014,8.89967
35,0.105803,8.45154
36,0.11082,8.02363
37,0.116076,7.61502
38,0.121583,7.22483
39,0.127352,6.85222
40,0.133397,6.4964
41,0.139731,6.15658
42,0.146369,5.83206
43,0.153325,5.52211
44,0.160614,5.22609
45,0.168255,4.94334
46,0.176265,4.67326
47,0.184663,4.41527
48,0.193469,4.1688
49,0.202703,3.93332
50,0.21239,3.70832
51,0.222553,3.4933
52,0.233219,3.28781
53,0.244416,3.09139
54,0.256093,2.90483
55,0.267669,2.73596
56,0.279038,2.58374
57,0.290221,2.44564
58,0.301236,2.31966
59,0.312097,2.20413
60,0.322818,2.09772
61,0.333412,1.99929
62,0.343889,1.90791
63,0.35426,1.82279
64,0.364533,1.74324
65,0.374717,1.66868
66,0.384821,1.59861
67,0.39485,1.53261
68,0.404812,1.47028
69,0.414712,1.41131
70,0.424558,1.35539
71,0.434353,1.30228
72,0.444103,1.25173
73,0.453814,1.20355
74,0.463488,1.15755
75,0.473132,1.11358
76,0.482748,1.07147
77,0.492342,1.03111
78,0.501915,0.992368
79,0.511473,0.955137
80,0.521018,0.919318
81,0.530554,0.884821
82,0.540084,0.851564
83,0.549611,0.81947
84,0.559137,0.78847
85,0.568666,0.758501
86,0.5782,0.729504
87,0.587743,0.701425
88,0.597295,0.674214
89,0.606861,0.647824
90,0.616442,0.622212
91,0.626041,0.597339
92,0.63566,0.573168
93,0.645301,0.549663
94,0.654967,0.526794
95,0.664659,0.50453
96,0.67438,0.482842
97,0.684132,0.461706
98,0.693917,0.441095
99,0.703736,0.420987
100,0.713592,0.401361
101,0.723487,0.382196
102,0.733422,0.363472
103,0.743399,0.345173
104,0.75342,0.32728
105,0.763488,0.309779
106,0.773603,0.292653
107,0.783767,0.275889
108,0.793983,0.259473
109,0.804251,0.243392
110,0.814575,0.227635
111,0.824954,0.212189
112,0.835391,0.197044
113,0.845888,0.182189
114,0.856446,0.167615
115,0.867067,0.153313
116,0.877753,0.139273
117,0.888504,0.125487
118,0.899324,0.111947
119,0.910212,0.0986451
120,0.921171,0.0855744
121,0.932203,0.0727278
122,0.943309,0.0600986
123,0.95449,0.0476804
124,0.965748,0.0354671
125,0.977084,0.023453
126,0.988501,0.0116324
127,1,0
