Output number,Expansion factor,redshift,,,,
0,0.0219318,44.596,,,,
1,0.0240583,40.5657,,,,
2,0.0263911,36.8916,,,,
3,0.0289501,33.5422,,,,
4,0.0317572,30.4889,,,,
5,0.0348365,27.7055,,,,
6,0.0382145,25.1681,,,,
7,0.0419201,22.8549,,,,
8,0.0459851,20.7462,,,,
9,0.0504444,18.8238,,,,
10,0.0553364,17.0713,,,,
11,0.060703,15.4737,,,,
12,0.0665904,14.0172,,,,
13,0.0730494,12.6894,,,,
14,0.0801357,11.4788,,,,
15,0.0879107,10.3752,,,,
16,0.0964416,9.36897,,,,
17,0.105803,8.45154,,,,
18,0.116076,7.61502,,,,
19,0.127352,6.85222,,,,
20,0.139731,6.15658,,,,
21,0.153325,5.52211,,,,
22,0.168255,4.94334,,,,
23,0.184663,4.41527,,,,
24,0.202703,3.93332,,,,
25,0.222553,3.4933,,,,
26,0.244416,3.09139,,,,
27,0.267669,2.73596,,,,
28,0.290221,2.44564,,,,
29,0.312097,2.20413,,,,
30,0.333412,1.99929,,,,
31,0.35426,1.82279,,,,
32,0.374717,1.66868,,,,
33,0.39485,1.53261,,,,
34,0.414712,1.41131,,,,
35,0.434353,1.30228,,,,
36,0.453814,1.20355,,,,
37,0.473132,1.11358,,,,
38,0.492342,1.03111,,,,
39,0.511473,0.955137,,,,
40,0.530554,0.884821,,,,
41,0.549611,0.81947,,,,
42,0.568666,0.758501,,,,
43,0.587743,0.701425,,,,
44,0.606861,0.647824,,,,
45,0.626041,0.597339,,,,
46,0.645301,0.549663,,,,
47,0.664659,0.50453,,,,
48,0.684132,0.461706,,,,
49,0.703736,0.420987,,,,
50,0.723487,0.382196,,,,
51,0.743399,0.345173,,,,
52,0.763488,0.309779,,,,
53,0.783767,0.275889,,,,
54,0.804251,0.243392,,,,
55,0.824954,0.212189,,,,
56,0.845888,0.182189,,,,
57,0.867067,0.153313,,,,
58,0.888504,0.125487,,,,
59,0.910212,0.0986451,,,,
60,0.932203,0.0727278,,,,
61,0.95449,0.0476804,,,,
62,0.977084,0.023453,,,,
63,1,0,,,,
